POI_ID,Longitude,Latitude,SEQ_NUM,POI_NAME,LINK_ID
1210225169,-99.62645,19.27136,1,IGLESIA CRISTIANA ADVENTISTA DE 7 DIA,702684291
1210225169,-99.62645,19.27136,2,IGL. CRIST. ADV. DE 7 DIA,702684291
1178939476,-99.64331,19.27218,1,ESPECIALISTAS EN SUSPENSIÓN Y DIRECCIÓN,702992387
1178939476,-99.64331,19.27218,2,ESPECIALISTAS EN SUSPENSIÓN,702992387
1233550396,-99.64331,19.27218,2,DE TODO EN SUSPENSIONES,702992387
1233550396,-99.64331,19.27218,1,DE TODO EN SUSPENSIONES Y DIRECCIONES,702992387
1244750190,-99.5331,19.27059,2,TIENDA DE ESCUELA PRIMARIA,702712580
1244750190,-99.5331,19.27059,1,TIENDA DE ESCUELA PRIMARIA MIGUEL HIDALGO,702712580
1048933205,-99.58334,19.27167,1,SALÓN DEL REINO DE LOS TESTIGOS DE JEHOVÁ,839018701
1048933205,-99.58334,19.27167,2,SALÓN DE LOS TESTIGOS DE JEHOVÁ,839018701
1210225271,-99.59759,19.27216,1,IGLESIA CRISTIANA DE ORACIÓN JEHOVÁ MI DIOS,702728014
1210225271,-99.59759,19.27216,2,IGL. C. DE ORACIÓN JEHOVÁ MI DIOS,702728014
1192268180,-99.64988,19.27402,2,BIOCLEAN O&G,702718741
1192268180,-99.64988,19.27402,1,LAVANDERÍA Y TINTORERÍA BIOCLEAN O&G,702718741
1178942565,-99.64172,19.27268,1,"MOTORES DIESEL Y TRANSMISIONES DE TOLUCA, S.A. DE C.V.",702786618
1178942565,-99.64172,19.27268,2,MOTORES DIESEL Y TRANSMISIONES,702786618
1210225363,-99.50865,19.27442,2,IGL. DEL SAGRADO CORAZÓN DE JESUS,1347281944
1210225363,-99.50865,19.27442,1,IGLESIA DEL SAGRADO CORAZÓN DE JESUS,1347281944
1048912771,-99.59582,19.2733,2,PARROQUIA DEL S. C. J.,702691668
1048912771,-99.59582,19.2733,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,702691668
1210225254,-99.58065,19.2733,1,RECINTO ESPIRITUAL CASA DE JERUSALÉN,779677266
1210225254,-99.58065,19.2733,2,RECINTO ESP. CASA DE JERUSALÉN,779677266
1048933204,-99.58849,19.27437,2,SAGRADO CORAZON DE JESUS,702693338
1048933204,-99.58849,19.27437,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,702693338
1210170931,-99.62702,19.27276,1,IGLESIA DE SAN FRANCISCO DE ASÍS COAXUSCO,702713666
1210170931,-99.62702,19.27276,2,IGLA. DE SAN FCO. DE ASÍS COAXUSCO,702713666
1210225181,-99.62413,19.2739,2,IGL. CRIST. BAUTISTA EL MECÍAS,702661499
1210225181,-99.62413,19.2739,1,IGLESIA CRISTIANA BAUTISTA EL MECÍAS,702661499
1178942806,-99.63369,19.27419,1,MEDICAMENTOS EXCLUSIVOS S. A. DE C. V.,702958389
1178942806,-99.63369,19.27419,2,MEDICAMENTOS EXCLUSIVOS SA DE CV,702958389
1137408259,-99.64926,19.27404,1,CEAJA LIC. BENITO JUÁREZ C. O. CA. T. E. M.,702717196
1137408259,-99.64926,19.27404,2,CEAJA LIC. BENITO JUÁREZ,702717196
1210225262,-99.58885,19.2746,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,1175838779
1210225262,-99.58885,19.2746,2,PARROQUIA DEL SAGRADO C. DE J.,1175838779
1244533605,-99.57467,19.27491,2,HSBC,1175857993
1244533605,-99.57467,19.27491,1,CAJERO AUTOMÁTICO HSBC MÉXICO,1175857993
1192317574,-99.62155,19.27509,1,DIESTRO ALCHÍMICA PRODUCTOS Y SERVICIOS,702667081
1192317574,-99.62155,19.27509,2,DIESTRO ALCHÍMICA,702667081
1048914109,-99.63461,19.27504,1,PAPELERA CUAUHTÉMOC DE TOLUCA S. A. DE C. V.,1295696212
1048914109,-99.63461,19.27504,2,PAPELERA CUAUHTÉMOC,1295696212
1202549471,-99.53205,19.27558,2,VILÚ REGALOS Y FIESTA,702643437
1202549471,-99.53205,19.27558,1,VILÚ REGALOS Y ARTÍCULOS PARA FIESTA,702643437
1244535798,-99.60489,19.27534,1,CAJERO AUTOMÁTICO HSBC MÉXICO,1244908942
1244535798,-99.60489,19.27534,3,HSBC,1244908942
1244535798,-99.60489,19.27534,2,HSBC MÉXICO,1244908942
1202578341,-99.52917,19.27582,1,SAN CARLOS MATERIAL ELÉCTRICO E ILUMINACIÓN,779318237
1202578341,-99.52917,19.27582,2,ELÉCTRICA SAN CARLOS,779318237
1209099101,-99.54798,19.27578,2,"ESTANCIA INFANTIL ""LA CASITA DEL AR",702652679
1209099101,-99.54798,19.27578,1,"ESTANCIA INFANTIL """"LA CASITA DEL ARBOL""""",702652679
1202572647,-99.536,19.27599,2,GOLOSINAS GONASA,1255817267
1202572647,-99.536,19.27599,1,GONASA GOLOSINAS NUTRITIVAS Y AMARANTO,1255817267
1178726658,-99.64773,19.27681,1,JARDIN DE NIÑOS ANEXO A LA NORMAL NO 3 DE TOLUCA,1296448873
1178726658,-99.64773,19.27681,2,JARDIN DE NIÑOS ANEXO A LA NORMAL 3,1296448873
1202548552,-99.54305,19.2768,1,"MATERIALES PARA CONSTRUCCIÓN """"EL 71""""",1377936019
1202548552,-99.54305,19.2768,2,EL 71,1377936019
1202592473,-99.52915,19.27686,1,LAVANDERÍA Y TINTORERÍA DE LOS ÁNGELES,1295319414
1202592473,-99.52915,19.27686,2,LAVANDERÍA DE LOS ÁNGELES,1295319414
1178992296,-99.63636,19.27726,2,REC. LOS STO. SIMON Y JUDAS TADEO A,702721592
1178992296,-99.63636,19.27726,1,RECTORÍA LOS SANTOS SIMON Y JUDAS TADEO APÓSTOLES,702721592
1137408263,-99.65048,19.27688,1,SECUNDARIA OFICIAL NO. 3 BENITO JUÁREZ,1296121851
1137408263,-99.65048,19.27688,2,SEC. OFICIAL NO. 3 BENITO JUÁREZ,1296121851
1178800239,-99.64801,19.27774,2,ESCUELA PREPARATORIA OFICIAL 169,711798640
1178800239,-99.64801,19.27774,1,ESCUELA PREPARATORIA OFICIAL NO. 169,711798640
1178940549,-99.62873,19.27778,2,DISTRIBUIDORA PVC TOLUCA SA DE CV,1346746203
1178940549,-99.62873,19.27778,1,DISTRIBUIDORA DE PVC DE TOLUCA S. A. DE C. V.,1346746203
1232283187,-99.64159,19.27846,1,ZARAPES Y REBOZOS,1073188359
1232283187,-99.64159,19.27846,3,ZARA,1073188359
1232283187,-99.64159,19.27846,2,ZARAPES Y REBOSOS,1073188359
1178939573,-99.62836,19.27926,2,DELEGACIÓN DE STA ANA TLAPALTITLAN,702673665
1178939573,-99.62836,19.27926,1,DELEGACIÓN MUNICIPAL DE SANTA ANA TLAPALTITLAN,702673665
1210170935,-99.64548,19.27915,2,PARROQUIA DEL S. C. J.,711775005
1210170935,-99.64548,19.27915,1,PARROQUIA DEL SAGRADO CORAZÓN DE JESÚS,711775005
1210225248,-99.6128,19.27967,2,C. DEL MEDIO DIA TRIN. M. C. SIMEÓN,1159549176
1210225248,-99.6128,19.27967,1,CENTRO DEL MEDIO DIA TRINITARIO MARIANO CASA DE SIMEÓN,1159549176
1178907531,-99.64376,19.28003,2,INST UNIVERSITARIO DEL ALTIPLANO,719878430
1178907531,-99.64376,19.28003,1,INSTITUTO UNIVERSITARIO DEL ALTIPLANO,719878430
1210225211,-99.62883,19.27986,1,CAPILLA DE NUESTRO SEÑOR DE LA COLUMNA,702685687
1210225211,-99.62883,19.27986,2,CAPILLA DE NTRO. SR. DE LA COLUMNA,702685687
1210225279,-99.6093,19.2809,1,IGLESIA CRISTIANA EVANGÉLICA DE MÉXICO,1284787098
1210225279,-99.6093,19.2809,2,IGL. CRIST. EVANG. DE EDOMEX.,1284787098
1244247523,-99.64139,19.28106,2,COMERCIALIZADORA DE BLANCOS EL NEVA,1329274205
1244247523,-99.64139,19.28106,1,COMERCIALIZADORA DE BLANCOS EL NEVADO,1329274205
1178936971,-99.62883,19.2818,1,COMERCIALIZADORA VALMA S. A. DE C. V.,702707547
1178936971,-99.62883,19.2818,2,COMERCIALIZADORA VALMA SA DE CV,702707547
1119178714,-99.49892,19.28135,2,VIPS LERMA OUTLET TOLUCA,1343849240
1119178714,-99.49892,19.28135,1,VIPS,1343849240
1137801351,-99.50685,19.28164,1,ESCUELA PRIMARIA FRIDA KAHLO CALDERÓN,848009478
1137801351,-99.50685,19.28164,2,ESC. PRIMARIA FRIDA KAHLO CALDERÓN,848009478
1218215972,-99.49588,19.28161,1,7-ELEVEN,1347278823
1218215972,-99.49588,19.28161,2,711,1347278823
1194326346,-99.49741,19.2822,2,CALZEDONIA,1361103338
1194326346,-99.49741,19.2822,1,CALZEDONIA INTIMISSIMI MEXICO,1361103338
1059230927,-99.63309,19.28156,2,UAEM NEZAHUALCOYOTL PREPARATORIA,1341904722
1059230927,-99.63309,19.28156,1,UAEM PLANTEL NEZAHUALCOYOTL DE LA ESCUELA PREPARATORIA,1341904722
1154349369,-99.6493,19.28207,1,SECUNDARIA OFICIAL NO. 591 IGNACIO MANUEL ALTAMIRANO,702715697
1154349369,-99.6493,19.28207,2,SEC 591 IGNACIO MANUEL ALTAMIRANO,702715697
1048860513,-99.49804,19.28241,1,DOMINO'S,1357006586
1048860513,-99.49804,19.28241,2,DOMINO'S PIZZA,1357006586
1214006741,-99.50111,19.28238,1,STARBUCKS,1073787723
1214006741,-99.50111,19.28238,2,STARBUCKS-OUTLET LERMA,1073787723
1202548543,-99.51878,19.28286,1,ESTACIONAMIENTO EJIDO SAN PEDRO TULTEPEC,1125660316
1202548543,-99.51878,19.28286,2,ESTACIONAMIENTO,1125660316
1202595608,-99.53233,19.28167,2,LA ABJITA,1295319468
1202595608,-99.53233,19.28167,1,"LA ABJITA CARNES FRÍAS, MIEL Y DERIVADOS",1295319468
1024682762,-99.57418,19.28205,2,CAJERO AUTOMÁTICO HSBC MÉXICO,839667181
1024682762,-99.57418,19.28205,3,HSBC SUCURSAL ASUNCIÓN,839667181
1024682762,-99.57418,19.28205,1,HSBC,839667181
1202595461,-99.52895,19.2833,1,UN MUNDO DE GLOBOS ARTÍCULOS PARA PAYASO,848442834
1202595461,-99.52895,19.2833,2,UN MUNDO DE GLOBOS,848442834
1137793375,-99.50878,19.28343,2,IGLESIA DE JESUCRISTO DE LOS SUD.,1347255488
1137793375,-99.50878,19.28343,1,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,1347255488
1202700634,-99.50724,19.28344,2,IMSJ,1336546817
1202700634,-99.50724,19.28344,1,INSTITUTO MEXIQUENSE DE SEGURIDAD Y JUSTICIA,1336546817
1048916220,-99.52713,19.28419,2,CENTRAL SAN MATEO ATENCO,847430825
1048916220,-99.52713,19.28419,1,CENTRAL DE AUTOBUSES SAN MATEO ATENCO,847430825
1048860491,-99.4977,19.28407,2,TOMMY HILFIGER OUTLET LERMA 2,1241613173
1048860491,-99.4977,19.28407,1,TOMMY HILFIGER,1241613173
1233544046,-99.58061,19.28465,1,ESTACIONAMIENTO AUXILIAR HOTEL QUINTA DEL REY AMOSEJ,1272374529
1233544046,-99.58061,19.28465,2,ESTACIONAMIENTO AUXILIAR HOTEL,1272374529
844499834,-99.6499,19.28385,1,G500,1179523757
844499834,-99.6499,19.28385,2,PEMEX,1179523757
1137474079,-99.63728,19.28576,2,EL UNIVERSO DEL NIÑO,702683665
1137474079,-99.63728,19.28576,1,JARDÍN DE NIÑOS EL UNIVERSO DEL NIÑO,702683665
1179438349,-99.62086,19.28467,1,PRODUCTOS QUÍMICOS DE LIMPIEZA SANTI. GO,1346439789
1179438349,-99.62086,19.28467,2,PROD QUÍMICOS LIMPIEZA SANTI. GO,1346439789
1202700649,-99.51183,19.28454,1,OFICINA REGIONAL XIII DEL REGISTRO CIVIL,1347286819
1202700649,-99.51183,19.28454,2,OFNA. REGIONAL XIII DEL REG. CIVIL,1347286819
1233527973,-99.50005,19.2842,1,HAAGEN DAZS OUTLET LERMA,704547544
1233527973,-99.50005,19.2842,2,HAAGEN-DAZS,704547544
1202576589,-99.51379,19.2846,2,SKYMEDIA SOLUTIONS,702928657
1202576589,-99.51379,19.2846,1,SKYMEDIA SOLUTIONS REPARACIÓN DE EQUIPO DE COMPUTO,702928657
1202667923,-99.51078,19.28505,1,SERVICIO TÉCNICO PERÁN REPARACIÓN DE LAVADORAS Y REFRIGERADORES,1347255500
1202667923,-99.51078,19.28505,2,SERV. TEC. PERÁN REP. DE LAVADORAS,1347255500
996747761,-99.57357,19.28475,2,DOMINO'S,1346538032
996747761,-99.57357,19.28475,1,DOMINO'S PIZZA,1346538032
1210225282,-99.59674,19.28498,1,RECTORÍA DE NUESTRA SEÑORA DEL PERPETUO SOCORRO,702911835
1210225282,-99.59674,19.28498,2,RECT. DE N. S. DEL PERPETUO SOCORRO,702911835
1244246366,-99.57503,19.28543,1,VENTA DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,1347030325
1244246366,-99.57503,19.28543,2,VENTA DE DULCES Y MATERIAS PRIMAS,1347030325
1202549525,-99.51506,19.28582,2,AXEZ,1347007308
1202549525,-99.51506,19.28582,1,AXEZ ESTÉTICA Y DISTRIBUIDORA DE ARTÍCULOS DE BELLEZA,1347007308
1202698353,-99.51134,19.28577,1,FORO CULTURAL TIEMPO Y ESPACIO THAAY,1175296883
1202698353,-99.51134,19.28577,2,FORO TIEMPO Y ESPACIO THAAY,1175296883
1210225198,-99.6429,19.28514,1,IGLESIA DE JESUCRISTO CUIDA DE DIOS DE LA COBERTURA PALABRA MIA,702689498
1210225198,-99.6429,19.28514,2,J. C. CUIDA DE DIOS DE LA COBERTURA,702689498
1244305531,-99.51135,19.2851,2,ART.S DEPORTIVOS ALVARADO HERMANOS,770398429
1244305531,-99.51135,19.2851,1,ARTÍCULOS DEPORTIVOS ALVARADO HERMANOS,770398429
1202700635,-99.50708,19.28594,1,DIRECCIÓN GENERAL DE GOBIERNO REGIÓN LERMA,702659572
1202700635,-99.50708,19.28594,2,DIRECCIÓN GENERAL DE GOBIERNO LERMA,702659572
1202697911,-99.50425,19.28635,1,PANTEÓN MUNICIPAL DE LERMA DE VILLADA,1336240012
1202697911,-99.50425,19.28635,2,PANTEÓN MPAL DE LERMA DE VILLADA,1336240012
1176546389,-99.50932,19.28625,1,INSTITUTO CULTURAL EMPRESARIAL DE MÉXICO (PREPARATORIA ICEM),1178777229
1176546389,-99.50932,19.28625,2,INSTITUTO CULTURAL EMPRESARIAL,1178777229
1244537112,-99.59104,19.28623,2,CITIBANAMEX,1176602254
1244537112,-99.59104,19.28623,1,BANAMEX,1176602254
1113117453,-99.5278,19.286,1,MONUMENTOA EMILIANO ZAPATA,1242761635
1113117453,-99.5278,19.286,2,埃米利阿诺赛巴塔纪念碑,1242761635
1202549188,-99.52179,19.28608,2,CONSTRU-FERRE,1206352737
1202549188,-99.52179,19.28608,1,CONSTRU-FERRE MATERIALES PARA LA CONSTRUCCIÓN,1206352737
1202693768,-99.51407,19.28665,1,COMPUBIT REPARACIÓN DE EQUIPO DE COMPUTO,702704491
1202693768,-99.51407,19.28665,2,COMPUBIT REP. DE EQ. DE COMPUTO,702704491
1178919459,-99.64718,19.28673,2,ESCUELA NO 7 ESTADO DE MÉXICO,702689496
1178919459,-99.64718,19.28673,1,ESCUELA SECUNDARIA OFICIAL NO 7 ESTADO DE MÉXICO,702689496
1210225176,-99.62468,19.28759,2,NAC. PRESB. DE MÉXICO ALFA Y OMEGA,1346441462
1210225176,-99.62468,19.28759,1,NACIONAL PRESBITERIANA DE MÉXICO ALFA Y OMEGA,1346441462
1244537102,-99.59103,19.28659,2,CITIBANAMEX,1176602248
1244537102,-99.59103,19.28659,1,BANAMEX,1176602248
1059477472,-99.59201,19.28677,2,JA DE N MIGUEL DE CERVANTES,847221037
1059477472,-99.59201,19.28677,1,JA DE N MIGUEL DE CERVANTES SAAVEDRA,847221037
1244532683,-99.55451,19.28686,2,CITIBANAMEX,721217387
1244532683,-99.55451,19.28686,1,BANAMEX SENDERO TOLUCA,721217387
1244532015,-99.52996,19.28761,2,CITIBANAMEX,1347013750
1244532015,-99.52996,19.28761,1,BANAMEX,1347013750
1192402154,-99.60641,19.28719,1,DISTRIBUIDORA DE MATERIAL DE CONTROL Y AUTOMATIZACION S.A. DE C.V.,1346034682
1192402154,-99.60641,19.28719,2,DISTRIBUIDORA DE MATERIAL DE CONTRO,1346034682
1192402152,-99.60731,19.28721,1,EPS-COLLISION CENTER AND CAR SERVICE,1346034684
1192402152,-99.60731,19.28721,2,EPS,1346034684
1192413959,-99.60841,19.28724,2,SEGURIDAD INDUSTRIAL TOLLOCAN,1346209791
1192413959,-99.60841,19.28724,1,GASES SOLDADURA Y SEGURIDAD INDUSTRIAL TOLLOCAN,1346209791
1244444100,-99.54119,19.28834,1,CAJERO AUTOMÁTICO CITIBANAMEX,1318613827
1244444100,-99.54119,19.28834,2,CITIBANAMEX,1318613827
1244444086,-99.54119,19.28834,1,BANAMEX,1318613827
1244444086,-99.54119,19.28834,2,CITIBANAMEX,1318613827
1178811975,-99.64157,19.28755,2,TOLUCA,702661408
1178811975,-99.64157,19.28755,1,CENTRAL DE AMORTIGUADORES Y SUSPENSIONES TOLUCA,702661408
1222385208,-99.63735,19.28745,1,MUSEO DEL HEROICO CUERPO DE BOMBEROS TOLUCA,702696427
1222385208,-99.63735,19.28745,2,MUSEO CUERPO DE BOMBEROS,702696427
1137429869,-99.64585,19.28747,2,PENSIÓN GUS,702710671
1137429869,-99.64585,19.28747,1,ESTACIONAMIENTO GUSTAVO,702710671
1178805842,-99.64585,19.28747,2,PENSIÓN GUS,702710671
1178805842,-99.64585,19.28747,1,ESTACIONAMIENTO GUSTAVO,702710671
1048752826,-99.64168,19.28755,1,BANAMEX,702677958
1048752826,-99.64168,19.28755,2,BANAMEX SAN SEBASTIÁN,702677958
1048752826,-99.64168,19.28755,3,CITIBANAMEX,702677958
1244749337,-99.51571,19.28678,2,CASA DE CULTURA PROF. ADRIÁN ORTEGA,702708286
1244749337,-99.51571,19.28678,1,"CASA DE CULTURA PROF. ADRIÁN ORTEGA MONROY LERMA DE VILLADA, MÉXICO",702708286
1202592419,-99.51452,19.28711,2,COMISIÓN DE DER HUMANOS DE EDOMEX,1201355528
1202592419,-99.51452,19.28711,1,COMISIÓN DE DERECHOS HUMANOS DEL ESTADO DE MÉXICO,1201355528
1175695993,-99.51164,19.28812,2,SAN MIGUEL AMEYALCO TRADICIONES,702644713
1175695993,-99.51164,19.28812,3,圣米格尔阿梅亚尔科,702644713
1175695993,-99.51164,19.28812,1,SAN MIGUEL AMEYALCO TRADICIONES Y FESTIVIDADES,702644713
844556461,-99.62604,19.28767,3,RADISSON DEL REY,1335374684
844556461,-99.62604,19.28767,2,RADISSON HOTEL & CONVENTION CENTER,1335374684
844556461,-99.62604,19.28767,1,RADISSON HOTEL & CONVENTION CENTER-TOLUCA,1335374684
1048860393,-99.62869,19.28818,1,MUSEO GALERÍA ARTE MEXIQUENSE BICENTENARIO,1179773826
1048860393,-99.62869,19.28818,2,MUSEO TORRES BICENTENARIO,1179773826
1048860393,-99.62869,19.28818,3,双百塔博物馆,1179773826
1192413954,-99.61272,19.28731,2,COMISIÓN DE SEGURIDAD CIUDADANA,1197042616
1192413954,-99.61272,19.28731,1,COMISIÓN ESTATAL DE SEGURIDAD CIUDADANA,1197042616
1137773501,-99.57515,19.28729,2,PEMEX,1382854023
1137773501,-99.57515,19.28729,1,G500,1382854023
1164970892,-99.62117,19.28752,2,C DE FORMACION Y DOC ELECTORAL,1208943339
1164970892,-99.62117,19.28752,1,CENTRO DE FORMACION Y DOCUMENTACIÓN ELECTORAL,1208943339
1192821728,-99.59236,19.28801,2,PROV INDUSTRIAL TOL-EQUIPO D SEG,704548394
1192821728,-99.59236,19.28801,1,PROVEEDORA INDUSTRIAL TOLUCA-EQUIPO DE SEGURIDAD,704548394
1048752871,-99.63787,19.28851,1,PROCURADURÍA GENERAL DE JUSTICIA DEL ESTADO DE MÉXICO,1346737722
1048752871,-99.63787,19.28851,3,FISCALÍA GENERAL DE JUSTICIA,1346737722
1048752871,-99.63787,19.28851,2,PROCURADURÍA GRAL DE JUSTICIA,1346737722
1166551844,-99.62172,19.28852,1,DOMINO'S,1336313969
1166551844,-99.62172,19.28852,2,DOMINO'S PIZZA,1336313969
1175501371,-99.62172,19.28852,2,IVVONNE,1336313969
1175501371,-99.62172,19.28852,1,IVONNE,1336313969
1175504855,-99.6223,19.28878,1,HAAGEN-DAZS GALERIAS TOLUCA,1332786230
1175504855,-99.6223,19.28878,2,HAAGEN-DAZS,1332786230
1244438321,-99.55538,19.28952,3,HSBC,1175369814
1244438321,-99.55538,19.28952,2,CAJERO AUTOMÁTICO HSBC MÉXICO,1175369814
1244438321,-99.55538,19.28952,1,HSBC MÉXICO,1175369814
1164892899,-99.55493,19.28987,1,STARBUCKS,721284760
1164892899,-99.55493,19.28987,2,STARBUCKS-SENDERO TOLUCA,721284760
1048935292,-99.55493,19.28987,2,"MCDONALD'S-SENDERO TOLUCA,",721284760
1048935292,-99.55493,19.28987,1,MCDONALD'S,721284760
1210225205,-99.64868,19.28994,1,NACIONAL PRESBITERIANA FAMILIA DE DIOS,702677349
1210225205,-99.64868,19.28994,2,NACIONAL PRESB. FAMILIA DE DIOS,702677349
1178908409,-99.64742,19.28996,1,PEMEX,1346231343
1178908409,-99.64742,19.28996,2,RUTA,1346231343
1178707858,-99.64591,19.28998,2,OPCIONES FARMACÉUTICAS,702645264
